Country_name,alpha-3,Year,suicide_percentage,ISO 3166 Country Code,Latitude,Longitude
China,CHN,1995,2.63,CN,35,105
China,CHN,1996,2.55,CN,35,105
China,CHN,1997,2.49,CN,35,105
China,CHN,1998,2.46,CN,35,105
China,CHN,1999,2.35,CN,35,105
China,CHN,2000,2.19,CN,35,105
China,CHN,2001,1.98,CN,35,105
China,CHN,2002,1.86,CN,35,105
China,CHN,2003,1.91,CN,35,105
China,CHN,2004,1.94,CN,35,105
China,CHN,2005,1.9,CN,35,105
China,CHN,2006,1.84,CN,35,105
China,CHN,2007,1.78,CN,35,105
China,CHN,2008,1.68,CN,35,105
China,CHN,2009,1.62,CN,35,105
China,CHN,2010,1.54,CN,35,105
China,CHN,2011,1.45,CN,35,105
China,CHN,2012,1.37,CN,35,105
China,CHN,2013,1.31,CN,35,105
China,CHN,2014,1.27,CN,35,105
China,CHN,2015,1.23,CN,35,105
China,CHN,2016,1.21,CN,35,105
China,CHN,2017,1.19,CN,35,105
China,CHN,2018,1.17,CN,35,105
China,CHN,2019,1.14,CN,35,105
United States,USA,1990,1.59,US,38,-97
United States,USA,1991,1.58,US,38,-97
United States,USA,1992,1.57,US,38,-97
United States,USA,1993,1.56,US,38,-97
United States,USA,1994,1.55,US,38,-97
United States,USA,1995,1.53,US,38,-97
United States,USA,1996,1.51,US,38,-97
United States,USA,1997,1.51,US,38,-97
United States,USA,1998,1.48,US,38,-97
United States,USA,1999,1.44,US,38,-97
United States,USA,2000,1.44,US,38,-97
United States,USA,2001,1.45,US,38,-97
United States,USA,2002,1.48,US,38,-97
United States,USA,2003,1.49,US,38,-97
United States,USA,2004,1.51,US,38,-97
United States,USA,2005,1.54,US,38,-97
United States,USA,2006,1.58,US,38,-97
United States,USA,2007,1.61,US,38,-97
United States,USA,2008,1.64,US,38,-97
United States,USA,2009,1.67,US,38,-97
United States,USA,2010,1.69,US,38,-97
United States,USA,2011,1.7,US,38,-97
United States,USA,2012,1.7,US,38,-97
United States,USA,2013,1.7,US,38,-97
United States,USA,2014,1.7,US,38,-97
United States,USA,2015,1.71,US,38,-97
United States,USA,2016,1.72,US,38,-97
United States,USA,2017,1.68,US,38,-97
United States,USA,2018,1.6,US,38,-97
United States,USA,2019,1.54,US,38,-97
